"Код 
исследования",Наименование исследования,Используемый  материал,Результат исследования,Срок* (рабочие дни) ,Возможность срочного выполнения,Цена,Описание,Подготовка,Клиническая информация,Интерпритация результатов
"15,880","Диагностика и дифференциальная диагностика ранних фом (микрокарцином) предстательной железы (CK5, p63, AMACR) (исследуется 3 маркера), (день доставки биоматериала в лабораторию не учитывается)",биоптат предстательной железы,заключение,7,,"11000,00",,,,
"15,885",Иммуногистохимическая диагностика атипической гиперплазии эндометрия/эндометриальной интраэпителиальной неоплазии (EIN) (исследуется только 1 маркер) день доставки б/м в лабораторию не учитывается.,биоптат,заключение,7,,"14800,00",,,,
"15,890","Оценка Her2neu-статуса в различных злокачественных эпителиальных опухолях (рак желудка, рак молочной железы, рак яичников, рак эндометрия и т,д,, исследуется только 1 маркер) день доставки б/м в лабораторию не учитывается.",биоптат,заключение,7,,"10500,00",,,,
"15,891",Иммуногистохимическое исследование прогностических маркеров (PD-L1),биоптат,заключение,7,,"15525,00",,,,
"15,892",Определение микросателлитной нестабильности (MSI),биоптат,заключение,12,,"13800,00",,,,
"15,895","Диагностика злокачественных лимфом (количество используемых маркеров определяется после завершения исследования, Максимальное количество маркеров-10, день доставки б/м в лабораторию не учитывается)",биоптат,заключение,7,,"37500,00",,,,
"15,896","Диагностика злокачественных опухолей без выявленного первичного очага (количество используемых маркеров определяется после завершения исследования, Максимальное количество маркеров-10, день доставки б/м в лабораторию не учитывается)",биоптат,заключение,7,,"30000,00",,,,
"15,995",Иммуногистохимическое исследование (до 5 антител),биоптат,заключение,7,,"15700,00",,,,
,БАКТЕРИОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ,,,,,,,,,
,Моча,,,,,,,,,
"54,100",Посев на микрофлору с определением чувствительности к антибиотикам,моча,заключение,2,,"900,00",,,,
"54,101","Посев на микрофлору и чувствительность к антибиотикам, антимикотикам и фагам ",моча средняя порция,заключение,3,,"1240,00",,,,
,"Отделяемое мочеполовых органов (влагалище, шейка матки, цервик, канал, полость матки, уретра и др)",,,,,,,,,
"54,103","Посев на микрофлору и чувствительность к антибиотикам, антимикотикам и фагам","мазок из влагалища, шейки матки, цервикального канала, уретры, эякулят, секрет простаты, головка полового члена",заключение,5,,"1290,00",,,,
"54,104",Посев на микрофлору с определением с чувствительностью к антибиотикам и антимикотикам,отделяемое,заключение,5,,"1000,00",,,,
